"","CAPOVERALL","CurrentModCodValue","USGOVERALL","DEVICEID"
"124",0,"8PSK - three-fourth",0,"TERM806"
"125",0,"8PSK - three-fourth",0,"TERM785"
"126",0,"8PSK - three-fourth",0,"TERM704"
"127",0,"QPSK - fifth-sixth",0,"TERM64"
"128",0,"8PSK - two-third",0,"TERM769"
"129",0,"8PSK - three-fourth",0,"TERM655"
"130",0,"8PSK - three-fourth",0,"TERM695"
"131",0,"8PSK - three-fourth",0,"TERM671"
"132",0,"8PSK - two-third",0,"TERM678"
"133",0,"8PSK - two-third",0,"TERM677"
"134",0,"16APSK - two-third",0,"TERM679"
"135",0,"16APSK - two-third",0,"TERM682"
"136",0,"8PSK - two-third",0,"TERM676"
"137",0,"8PSK - two-third",0,"TERM696"
"138",0,"8PSK - two-third",0,"TERM617"
"139",0,"8PSK - two-third",0,"TERM641"
"140",0,"8PSK - two-third",0,"TERM681"
"141",0,"8PSK - three-fourth",0,"TERM666"
"142",0,"8PSK - two-third",0,"TERM572"
"143",0,"8PSK - two-third",0,"TERM620"
"144",0,"16APSK - four-fifth",0,"TERM503"
"145",0,"32APSK - two-third",0,"TERM504"
"146",0,"16APSK - two-third",0,"TERM659"
"147",0,"8PSK - three-fourth",0,"TERM551"
"148",0,"16APSK - two-third",0,"TERM622"
"149",0,"8PSK - three-fourth",0,"TERM630"
"150",0,"16APSK - two-third",0,"TERM648"
"151",0,"8PSK - two-third",0,"TERM616"
"152",0,"8PSK - two-third",0,"TERM635"
"153",0,"8PSK - three-fourth",0,"TERM463"
"154",0,"8PSK - two-third",0,"TERM490"
"155",0,"16APSK - two-third",0,"TERM469"
"156",0,"8PSK - two-third",0,"TERM524"
"157",0,"8PSK - two-third",0,"TERM537"
"158",0,"8PSK - two-third",0,"TERM242"
"159",0,"8PSK - three-fourth",0,"TERM243"
"160",0,"8PSK - two-third",0,"TERM527"
"161",0,"QPSK - fifth-sixth",0,"TERM487"
"162",0,"16APSK - two-third",0,"TERM475"
"163",0,"16APSK - two-third",0,"TERM507"
"164",0,"8PSK - three-fourth",0,"TERM489"
"165",0,"16APSK - two-third",0,"TERM470"
"166",0,"8PSK - three-fourth",0,"TERM483"
"167",0,"16APSK - two-third",0,"TERM1271"
"168",0,"QPSK - ninth-tenth",0,"TERM1239"
"169",0,"QPSK - ninth-tenth",0,"TERM1178"
"170",0,"8PSK - two-third",0,"TERM1111"
"171",0,"QPSK - two-third",0,"TERM1100"
"172",0,"8PSK - two-third",0,"TERM986"
"173",0,"8PSK - three-fourth",0,"TERM544"
"174",0,"8PSK - fifth-sixth",0,"TERM845"
"175",0,"16APSK - two-third",0,"TERM831"
"176",0,"8PSK - three-fourth",0,"TERM727"
"177",0,"8PSK - two-third",0,"TERM819"
"178",0,"16APSK - two-third",0,"TERM807"
"179",0,"QPSK - two-third",0,"TERM301"
"180",0,"8PSK - three-fourth",0,"TERM479"
"181",5000,"16APSK - two-third",2871,"TERM1321"
"182",10000,"QPSK - fifth-sixth",0,"TERM1317"
"183",0,"8PSK - two-third",0,"TERM896"
"184",0,"QPSK - two-third",0,"TERM47"
"185",0,"8PSK - two-third",0,"TERM1253"
"186",10000,"8PSK - three-fourth",0,"TERM1287"
"187",20000,"8PSK - three-fourth",15342,"TERM1255"
"188",0,"16APSK - two-third",0,"TERM1257"
"189",0,"8PSK - three-fourth",0,"TERM1258"
"190",0,"16APSK - two-third",0,"TERM1064"
"191",5000,"QPSK - one-half",0,"TERM1217"
"192",5000,"16APSK - two-third",906,"TERM1227"
"193",0,"8PSK - two-third",0,"TERM891"
"194",0,"16APSK - two-third",0,"TERM810"
"195",0,"16APSK - two-third",0,"TERM180"
"196",0,"8PSK - two-third",0,"TERM955"
"197",0,"8PSK - two-third",0,"TERM967"
"198",0,"QPSK - fifth-sixth",0,"TERM898"
"199",0,"8PSK - two-third",0,"TERM944"
"200",0,"8PSK - two-third",0,"TERM852"
"201",0,"8PSK - two-third",0,"TERM853"
"202",0,"16APSK - two-third",0,"TERM419"
"203",0,"8PSK - three-fourth",0,"TERM752"
"204",0,"8PSK - two-third",0,"TERM689"
"205",0,"8PSK - three-fourth",0,"TERM585"
"206",200,"8PSK - two-third",200,"TERM474"
"207",0,"8PSK - three-fourth",0,"TERM492"
"208",0,"8PSK - two-third",0,"TERM408"
"209",0,"16APSK - two-third",0,"TERM511"
"210",0,"8PSK - three-fourth",0,"TERM491"
"211",0,"8PSK - three-fourth",0,"TERM476"
"212",40000,"16APSK - twenty five-thirty sixth",39996,"TERM736"
"213",40000,"QPSK - one-half",39998,"TERM626"
"214",0,"QPSK - one-half",0,"TERM207"
"215",60000,"16APSK - two-third",52633,"TERM347"
"216",5000,"8PSK - three-fourth",0,"TERM1358"
"217",0,"8PSK - three-fourth",0,"TERM1354"
"218",10000,"8PSK - three-fourth",9879,"TERM1325"
"219",5000,"16APSK - two-third",4975,"TERM1348"
"220",5000,"16APSK - two-third",4526,"TERM1327"
"221",200,"8PSK - three-fourth",0,"TERM1320"
"222",0,"8PSK - three-fourth",0,"TERM1282"
"223",200,"8PSK - three-fourth",199,"TERM1265"
"224",60000,"16APSK - two-third",35268,"TERM1169"
"225",0,"8PSK - three-fourth",0,"TERM703"
"226",10000,"8PSK - three-fourth",0,"TERM1143"
"227",0,"16APSK - two-third",0,"TERM1105"
"228",0,"16APSK - two-third",0,"TERM1138"
"229",0,"8PSK - three-fourth",0,"TERM1037"
"230",0,"16APSK - two-third",0,"TERM1034"
"231",0,"8PSK - three-fourth",0,"TERM1028"
"232",0,"8PSK - three-fourth",0,"TERM834"
"233",0,"8PSK - three-fourth",0,"TERM772"
"234",0,"16APSK - two-third",0,"TERM519"
"235",0,"8PSK - three-fourth",0,"TERM508"
"236",0,"8PSK - three-fourth",0,"TERM531"
"237",0,"16APSK - two-third",0,"TERM557"
"238",0,"16APSK - two-third",0,"TERM488"
"239",0,"16APSK - two-third",0,"TERM547"
"240",0,"16APSK - two-third",0,"TERM543"
"241",0,"8PSK - two-third",0,"TERM380"
"242",0,"8PSK - three-fourth",0,"TERM379"
"243",0,"16APSK - three-fourth",0,"TERM1322"
"244",0,"8PSK - two-third",0,"TERM930"
"245",0,"8PSK - two-third",0,"TERM1136"
"246",0,"8PSK - three-fourth",0,"TERM1147"
"247",5000,"8PSK - two-third",0,"TERM1129"
"248",0,"8PSK - two-third",0,"TERM1130"
